ID,"Interacting with Others
",Building Inclusivity ,Collaboration ,Communication ,Customer Orientation,Developing People,Influence,Total Score by Applicant ,Total Score of Test
iZWupuVxdaaFj,30,1,1,0,0,1,0,3,10
D2l7Snr1c6C7p,60,0,2,2,2,0,0,6,10
vAH880LnvkGf,60,2,2,0,2,0,0,6,10
XdxaL1VRKZqTc,50,2,0,0,2,0,1,5,10
XBcYGCVe4,40,2,0,2,0,0,0,4,10
cHOYmtJiYmHy,100,2,1,2,2,2,1,10,10
gGpNYj00,110,2,1,2,2,2,2,11,10
mZ67fEL2euGk,60,0,2,0,0,2,2,6,10
5TsuyEkwdR,60,0,2,0,0,2,2,6,10
XJVlpIXJSiK,70,1,0,2,2,1,1,7,10
4Hbwfhd5Qf6cW,80,1,2,1,2,0,2,8,10
ZrLrXM7iwydru,50,1,1,1,1,0,1,5,10
VN9fWHj3,70,0,1,2,2,1,1,7,10
vp5hxZzyEj3y6,80,1,2,0,2,1,2,8,10
Qr5P8BpGR1,50,1,1,0,1,2,0,5,10
gZD8yekYIpg4K,50,1,0,2,1,0,1,5,10
KQQyCbud,40,0,1,0,1,2,0,4,10
YedYIrx3F21,70,2,2,1,0,0,2,7,10
MENgVvwf,30,1,0,0,0,2,0,3,10
8r0jCBsQj,100,2,2,2,2,1,1,10,10
90mNn3D6aK,60,0,1,1,2,2,0,6,10
pCMnm3sjWeL,50,0,0,2,1,2,0,5,10
EoNChWdMcsV,60,0,2,2,0,0,2,6,10
xbocRkHVrM,60,1,1,2,1,0,1,6,10
OPWHtBkQlYy,30,1,0,0,2,0,0,3,10
vdP17g2sVZw,40,0,1,2,1,0,0,4,10
NLTWNm5K,70,2,2,0,1,2,0,7,10
EvsYjbEpwb,40,2,1,0,0,1,0,4,10
LSVF05fDvsu,50,0,0,0,2,2,1,5,10
oPppNppjYqMiw,50,2,1,0,0,2,0,5,10
sZi46vlz,80,2,0,1,2,2,1,8,10
0T5nvETnq,50,2,0,0,2,0,1,5,10
3igpo5rMtuMm,80,2,0,1,1,2,2,8,10
eA8IsnyJ3NMy,60,0,1,0,2,2,1,6,10
taiV6Ed6Ux,100,1,1,2,2,2,2,10,10
ldmktoDgy8w7,30,1,0,0,2,0,0,3,10
RAj4lyKnd879,10,0,0,0,1,0,0,1,10
GP1mGguVBauq,70,2,0,2,1,0,2,7,10
jA1kIL9zXEGqx,30,0,0,0,1,0,2,3,10
As8HlYoZz8d7V,60,0,0,1,1,2,2,6,10
UUgZyGE0UE1f,50,0,1,0,0,2,2,5,10
SgJKaDMnaq,50,1,1,0,1,2,0,5,10
6B9k1gEjmTFf,20,1,0,0,0,0,1,2,10
3e6ViBLJ,70,1,1,2,0,1,2,7,10
S5MHLPDxkvR,70,1,1,1,1,1,2,7,10
sgcBq8Xf1S,50,0,2,1,1,0,1,5,10
a3alyhLDm4V,100,0,2,2,2,2,2,10,10
gBwM5nomzFM,60,1,0,2,1,0,2,6,10
Wws6uRAKWV0x,30,1,0,0,0,2,0,3,10
IbxNwMa61Pri,50,0,2,0,2,0,1,5,10
1uhwB8aOZGY,90,2,1,2,2,2,0,9,10
D8a7TMU3ajM,80,1,2,1,2,0,2,8,10
wWMpXMUti,50,2,1,0,0,0,2,5,10
dOz52q3w09RD,70,2,2,0,1,1,1,7,10
YbNYOzJ2bOl,80,1,2,2,0,2,1,8,10
u8oVBs2V7Q,60,0,2,0,0,2,2,6,10
Rc7O4jfV,90,1,2,2,1,2,1,9,10
yyhVqcYE6D,100,2,2,0,2,2,2,10,10
58nCR8zJKn4,60,2,0,2,0,2,0,6,10
nC5BKYah,80,2,0,2,1,2,1,8,10
yX2814dS,70,2,1,2,0,2,0,7,10
0yVY8G5KOqsM,40,0,2,0,0,0,2,4,10
URVitfVO,40,2,2,0,0,0,0,4,10
xeFyrPLiza,70,1,1,1,2,0,2,7,10
pb9EGd4yvLK4J,60,1,2,0,2,0,1,6,10
oP0DnRaW,60,0,1,2,1,0,2,6,10
bTVuD3tykf,60,1,1,2,0,0,2,6,10
k9vxxhfmO,80,0,1,2,2,1,2,8,10
L6iRicbTSLB,60,0,1,1,2,2,0,6,10
MRzrGhHwnX,70,1,0,2,1,2,1,7,10
KTnoiTKo0AT,60,0,1,1,2,0,2,6,10
drVIZZmD,40,0,0,0,1,2,1,4,10
9hG3Bct6EK0,70,1,2,2,0,2,0,7,10
qlKH0odIMRAG,50,0,0,1,1,1,2,5,10
DV53W8Ogyh,40,1,0,0,1,2,0,4,10
byG62iPwnAOZ,60,1,2,0,1,0,2,6,10
qBvuq5MH6bW,100,2,2,2,1,2,1,10,10
JOgfaF9k9w,40,0,0,1,1,2,0,4,10
C67u2lEmwGN6,80,2,0,1,2,1,2,8,10
xtze87IlzCF5I,20,0,2,0,0,0,0,2,10
OU1mRi8Gw,60,0,0,1,1,2,2,6,10
fqdpPH6LDOxKZ,60,2,1,0,1,0,2,6,10
O4AYLW4n,50,2,0,1,0,2,0,5,10
xUFSuilT,50,1,1,1,2,0,0,5,10
5kLtXmqeaSRe,40,0,2,0,0,2,0,4,10
79suSThIw,80,2,1,1,1,1,2,8,10
W2jnVLbGlfb,30,2,0,0,1,0,0,3,10
09AHgeXM0E,70,2,1,2,1,0,1,7,10
9zQCEN8E,50,0,2,1,0,1,1,5,10
VX75qlJME,50,1,0,2,0,2,0,5,10
K0UQs1od5FK,60,2,0,2,1,1,0,6,10
lKTjCFlM7YM8M,60,2,0,1,1,2,0,6,10
EX6DjGEgBPy,40,0,2,0,0,2,0,4,10
HrvrTvZEuHXs,110,1,2,2,2,2,2,11,10
S4l96TmotZ,40,2,0,1,0,0,1,4,10
